Time(s) | Δt(s) | Hz | Note | Cents | Amplitude
---------------------------------------------------
1745299767.06 | 0.01 | 334.91 | E~4 | -22.49 | 0.18
1745299767.08 | 0.00 | 349.01 | F4 | -1.07 | 0.20
1745299767.10 | 0.01 | 400.19 | G~4 | -14.20 | 0.21
1745299767.11 | 0.01 | 459.88 | A#4 | -23.48 | 0.31
1745299767.12 | 0.01 | 474.48 | B`4 | -19.38 | 0.28
1745299767.32 | 0.04 | 472.65 | B-4 | 23.93 | 0.14
1745299767.34 | 0.00 | 489.71 | B4 | -14.68 | 0.20
1745299767.38 | 0.01 | 564.35 | C#~5 | -19.10 | 0.15
1745299767.39 | 0.01 | 488.93 | B4 | -17.47 | 0.10
1745299767.41 | 0.02 | 653.04 | E5 | -16.40 | 0.15
1745299767.41 | 0.00 | 3521.07 | A7 | 0.53 | 0.14
1745299767.44 | 0.00 | 3500.83 | A7 | -9.45 | 0.20
1745299767.46 | 0.01 | 536.79 | C~5 | -5.77 | 0.15
1745299767.52 | 0.01 | 539.34 | C~5 | 2.42 | 0.12
1745299767.55 | 0.04 | 1585.61 | G6 | 19.36 | 0.19
1745299767.58 | 0.02 | 522.26 | C5 | -3.27 | 0.22
1745299767.58 | 0.00 | 1654.38 | G#6 | -7.14 | 0.12
1745299767.60 | 0.01 | 523.54 | C5 | 0.97 | 0.14
1745299767.78 | 0.01 | 572.24 | C#~5 | 4.94 | 0.16
1745299768.42 | 0.02 | 594.57 | D5 | 21.21 | 0.14
1745299768.46 | 0.04 | 681.26 | E~5 | 6.85 | 0.25
1745299768.48 | 0.02 | 318.96 | E`4 | -6.94 | 0.18
1745299768.48 | 0.00 | 561.17 | C#5 | 21.11 | 0.17
1745299768.49 | 0.01 | 515.29 | B~4 | 23.44 | 0.14
1745299768.85 | 0.01 | 318.15 | E`4 | -11.33 | 0.19
1745299768.88 | 0.00 | 611.96 | D~5 | 21.13 | 0.23
1745299769.18 | 0.02 | 905.28 | A~5 | -0.97 | 0.29
1745299769.18 | 0.00 | 898.55 | A~5 | -13.89 | 0.32
1745299769.22 | 0.01 | 672.60 | E~5 | -15.30 | 0.23
1745299769.23 | 0.01 | 548.56 | C#5 | -18.22 | 0.19
1745299769.31 | 0.01 | 256.78 | B~3 | 17.63 | 0.26
1745299769.37 | 0.01 | 1285.95 | E`6 | 6.71 | 0.46
1745299769.42 | 0.02 | 443.28 | A4 | 12.85 | 0.24
1745299769.59 | 0.01 | 437.31 | A4 | -10.63 | 0.44
1745299769.69 | 0.01 | 1041.32 | C6 | -8.59 | 0.50
1745299769.70 | 0.01 | 509.58 | B~4 | 4.15 | 0.25
1745299769.72 | 0.00 | 480.42 | B`4 | 2.15 | 0.38
1745299769.73 | 0.01 | 474.69 | B`4 | -18.61 | 0.42
1745299769.76 | 0.00 | 471.53 | B-4 | 19.82 | 0.46
1745299769.77 | 0.01 | 470.04 | B-4 | 14.33 | 0.22
1745299769.80 | 0.04 | 472.34 | B-4 | 22.79 | 0.15
1745299769.82 | 0.01 | 473.54 | B`4 | -22.80 | 0.18
1745299769.82 | 0.00 | 478.31 | B`4 | -5.46 | 0.28
1745299769.87 | 0.00 | 1237.47 | D#6 | -9.81 | 0.65
1745299769.89 | 0.01 | 394.51 | G4 | 11.09 | 0.29
1745299769.90 | 0.01 | 1154.48 | C#~6 | 19.99 | 0.38
1745299769.91 | 0.01 | 1167.39 | D6 | -10.75 | 0.64
1745299769.92 | 0.01 | 1116.73 | C#6 | 12.45 | 0.62
1745299769.93 | 0.01 | 1241.77 | D#6 | -3.82 | 0.87
1745299769.97 | 0.00 | 1181.18 | D6 | 9.58 | 0.38
1745299770.00 | 0.04 | 1263.61 | E`6 | -23.63 | 0.51
1745299770.02 | 0.01 | 1243.12 | D#6 | -1.93 | 0.24
1745299770.04 | 0.00 | 1369.19 | E~6 | 15.30 | 0.77
1745299770.16 | 0.02 | 1146.56 | C#~6 | 8.08 | 0.78
1745299770.16 | 0.00 | 1056.68 | C6 | 16.75 | 0.77
1745299770.17 | 0.01 | 1059.41 | C6 | 21.23 | 0.94
1745299770.19 | 0.02 | 1113.83 | C#6 | 7.94 | 0.98
1745299770.20 | 0.01 | 1104.40 | C#6 | -6.77 | 1.00
1745299770.22 | 0.01 | 352.15 | F4 | 14.41 | 0.37
1745299770.23 | 0.01 | 1114.86 | C#6 | 9.55 | 1.00
1745299770.31 | 0.01 | 1241.61 | D#6 | -4.04 | 0.76
1745299770.33 | 0.02 | 1189.63 | D6 | 21.93 | 0.64
1745299770.34 | 0.01 | 1210.94 | D~6 | 2.66 | 0.56
1745299770.37 | 0.02 | 391.20 | G4 | -3.52 | 0.48
1745299770.37 | 0.00 | 584.52 | D5 | -8.30 | 0.70
1745299770.51 | 0.02 | 1131.94 | C#~6 | -14.13 | 0.77
1745299770.51 | 0.00 | 345.64 | F4 | -17.87 | 0.54
1745299770.52 | 0.01 | 357.78 | F~4 | -8.13 | 0.56
1745299770.56 | 0.04 | 1050.16 | C6 | 6.04 | 0.61
